awardId,recipient,agency,subAgency,awardType,amount,issueDomain,awardCount,uei,piid,modificationNumber,actionDate,competitionType,numberOfOffers,priceOnlyAward,exPostModification,protestFiled,exclusionFlag,firewallCovered
68HE0724F0019,"ENVIRONMENTAL QUALITY MANAGEMENT, INC",Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,20.2344,procurement,1,DBD6KDKXWN65,68HE0724F0019,0,2023-12-15,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,0,false,false,false,true,false
EP1669,CGI FEDERAL INC.,Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,20.0368,procurement,1,TRKEP1HEBNS5,EP1669,0,2010-09-30,FULL AND OPEN COMPETITION,2,false,false,false,false,false
68HERH21F0185,CONSOLIDATED SAFETY SERVICES INCORPORATED,Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,19.8616,procurement,1,DFAEDF67P941,68HERH21F0185,0,2021-04-01,FULL AND OPEN COMPETITION,0,false,false,false,false,false
68HE0H18F1524,"PROJECT PERFORMANCE COMPANY, LLC",Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,19.6991,procurement,1,P6KTNNHMA2B1,68HE0H18F1524,0,2018-07-13,FULL AND OPEN COMPETITION,1,true,false,false,false,false
68HE0521F0007,"EA ENGINEERING, SCIENCE, AND TECHNOLOGY, INC., PBC",Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,19.6515,procurement,1,LEEMJD9WKDC9,68HE0521F0007,0,2020-10-22,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,0,false,false,false,true,false
68HE0719F0171,"EA ENGINEERING, SCIENCE, AND TECHNOLOGY, INC., PBC",Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,19.5534,procurement,1,LEEMJD9WKDC9,68HE0719F0171,0,2019-09-13,FULL AND OPEN COMPETITION,2,false,false,false,false,false
EPG15H01158,"SILOSMASHERS, INC.",Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,19.4877,procurement,1,HNEPWHK98SH3,EPG15H01158,0,2015-07-16,FULL AND OPEN COMPETITION,4,false,false,false,false,false
68HE0320F0049,"TETRA TECH, INC.",Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,18.5757,procurement,1,E3QKBMJ7H9K7,68HE0320F0049,0,2020-07-02,FULL AND OPEN COMPETITION,0,false,false,false,false,false
68HERC24F0211,EASTERN RESEARCH GROUP INC,Environmental Protection Agency,Environmental Protection Agency,BPA CALL,18.4312,procurement,1,DK4TBEJRAR56,68HERC24F0211,0,2024-02-26,FULL AND OPEN COMPETITION,0,false,false,false,false,false
68HERD24F0050,DELL FEDERAL SYSTEMS L.P,Environmental Protection Agency,Environmental Protection Agency,BPA CALL,18.1695,procurement,1,N1C5QLNPJLS4,68HERD24F0050,0,2024-04-30,FULL AND OPEN COMPETITION,0,false,false,false,false,false
68HERD20F0128,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,18.1476,procurement,1,MMLKPW9JLX64,68HERD20F0128,0,2020-06-02,FULL AND OPEN COMPETITION,1,true,false,false,false,false
